"Geographic Location","Parameter","Value (Reported value — see source for units)","Source status","Release","Source"
"PHILIPPINES","2015 Population","100979303","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"PHILIPPINES","2020 Population","109033245","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"PHILIPPINES","2024 Population","112727776","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"PHILIPPINES","***Land Area (square kilometers)  a1/ a2/","300000","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"PHILIPPINES","2015 Population Density (persons per square kilometer)","336.5976766666666","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"PHILIPPINES","2020 Population Density (persons per square kilometer)","363.44415","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"PHILIPPINES","2024 Population Density (persons per square kilometer)","375.759253333333","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"PHILIPPINES","2015-2020 Percent Change in Population Density","7.97583441430567","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"PHILIPPINES","2015-2024 Percent Change in Population Density","11.63453564340804","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"PHILIPPINES","2020-2024 Percent Change in Population Density","3.38844450607703","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"..National Capital Region (NCR)","2015 Population","12877253","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
"..National Capital Region (NCR)","2020 Population","13484462","","2026-08-12T09-17-54-9f184c8f2d6c","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0221A6DLPD0.px"
