"Geographic Location","Parameter","Value (Reported value — see source for units)","Source status","Release","Source"
"PHILIPPINES","Total Population (01 May 2010)","92337852","","2026-08-12T09-17-54-0cfcfe780423","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0211A6DAPG0.px"
"PHILIPPINES","Total Population (01 August 2015)","100981437","","2026-08-12T09-17-54-0cfcfe780423","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0211A6DAPG0.px"
"PHILIPPINES","Total Population (01 May 2020)","109035343","","2026-08-12T09-17-54-0cfcfe780423","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0211A6DAPG0.px"
"PHILIPPINES","Total Population (01 July 2024)","112729484","","2026-08-12T09-17-54-0cfcfe780423","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0211A6DAPG0.px"
"PHILIPPINES","Population Growth (2010 - 2015)","1.72","","2026-08-12T09-17-54-0cfcfe780423","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0211A6DAPG0.px"
"PHILIPPINES","Population Growth (2015 - 2020)","1.63","","2026-08-12T09-17-54-0cfcfe780423","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0211A6DAPG0.px"
"PHILIPPINES","Population Growth (2015 - 2024)","1.24","","2026-08-12T09-17-54-0cfcfe780423","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0211A6DAPG0.px"
"PHILIPPINES","Population Growth (2020 - 2024)","0.8","","2026-08-12T09-17-54-0cfcfe780423","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0211A6DAPG0.px"
"..National Capital Region (NCR)","Total Population (01 May 2010)","11855975","","2026-08-12T09-17-54-0cfcfe780423","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0211A6DAPG0.px"
"..National Capital Region (NCR)","Total Population (01 August 2015)","12877253","","2026-08-12T09-17-54-0cfcfe780423","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO_2024/0211A6DAPG0.px"
