"Geolocation","Threshold/Incidence/Parameters","Year","Value (Reported value — see source for units)","Source status","Release","Source"
"PHILIPPINES r1, 1/, 2/, 3/","Annual Per Capita Poverty Threshold (in PhP)","2018","25813.5","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Annual Per Capita Poverty Threshold (in PhP)","2021","28794.05","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Annual Per Capita Poverty Threshold (in PhP)","2023","33295.99","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Poverty Incidence among Population (%)","2018","16.7","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Poverty Incidence among Population (%)","2021","18.1","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Poverty Incidence among Population (%)","2023","15.5","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Coefficient of Variation","2018","1.3","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Coefficient of Variation","2021","1.3","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Coefficient of Variation","2023","1.4","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Standard Error","2018","0.2","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Standard Error","2021","0.2","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","Standard Error","2023","0.2","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","95% Confidence Interval (Lower Limit)","2018","16.3","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","95% Confidence Interval (Lower Limit)","2021","17.6","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","95% Confidence Interval (Lower Limit)","2023","15.1","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","95% Confidence Interval (Upper Limit)","2018","17.1","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","95% Confidence Interval (Upper Limit)","2021","18.5","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
"PHILIPPINES r1, 1/, 2/, 3/","95% Confidence Interval (Upper Limit)","2023","16","","2026-08-03T13-49-16-ffb070b97929","https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1F__FY/0041F3DF02A.px"
